x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
55,1,113797,154906,155050,148484,156334,169757,171628,158463,167071,173000,185299,192367,197739,183886,194085,201450,202714,
56,1,109235,104627,145925,151581,149634,154541,145701,141085,156271,160920,162499,182003,182088,183459,179532,189948,182377,
57,1,101536,102486,109738,145062,149865,152709,152871,135549,133889,145853,164101,161838,176791,170738,173203,175946,187184,
58,1,104179,109771,106325,107589,141127,149616,135793,139795,125661,136664,151654,161730,166651,160078,163472,172290,175357,
59,1,102234,109190,92773,104562,113018,146164,134431,130974,131004,141560,134385,150691,149070,149205,162637,164534,174903,
60,1,89275,99243,104884,121493,110714,125356,138505,136222,129829,139842,137400,146956,162435,162804,171220,173298,180887,
61,1,72594,84953,92647,105195,111131,96590,98714,126033,116771,122422,117549,125047,140233,147739,158497,159047,159372,
62,1,82559,90911,87856,94658,104844,110351,101964,101145,123356,123810,128823,137441,135510,143618,154111,158235,160284,
63,1,78489,69269,76098,87096,92142,105916,99445,103330,90483,127600,115901,119082,125961,128181,132932,144905,154297,
64,1,62745,67571,69942,84576,86263,88285,91166,91725,88234,93344,111924,117706,117513,131127,126941,139308,138815,
65,1,69363,73685,68602,69920,79334,81348,81054,86712,81371,89528,84555,116625,124838,121758,121439,131768,134002,
66,1,73583,56581,55705,70466,69938,79605,75100,77997,80242,75154,87295,90508,105293,111833,119942,114933,119172,
67,1,61183,65596,58163,60581,70584,72989,74527,72564,67694,77969,79540,80545,94566,109401,118107,114595,113444,
68,1,58815,55411,51317,63783,64179,70425,65630,62981,65840,70680,72753,75258,87582,85199,109311,105834,105970,
69,1,62188,53654,51595,52967,62462,62003,61506,62476,56284,64390,66518,80060,79925,79610,91347,107794,109979,
70,1,52786,56121,50108,62898,57059,74856,58386,61213,55839,62422,64985,70243,89272,85591,84818,89467,105751,
71,1,49783,57302,46394,49847,51058,62467,58170,55566,57383,55295,56801,61209,70410,82736,75400,84860,81445,
72,1,49598,42947,53063,48640,52301,59276,50157,50756,50036,51047,58933,61274,62125,73774,79454,80535,78032,
73,1,53327,54271,47746,44830,48878,56710,56757,55292,47455,50375,53559,51182,65214,68361,68271,76098,75225,
74,1,48649,56827,42791,50729,50651,60409,51781,51456,47760,43455,50432,50988,60860,63315,66909,75290,77641,
75,1,51654,43074,45972,43514,47250,59361,52481,53451,45170,48149,47153,56718,60458,66071,59143,63625,72684,
76,1,49497,55433,43553,42039,46257,54409,50707,50512,45698,42793,43160,51396,57788,58474,62111,61374,62283,
77,1,45449,51290,42647,46479,48737,55263,49952,53780,45487,40164,46465,44828,52779,54434,56985,58395,61401,
78,1,44381,52672,43260,49923,47486,54330,56285,53944,43809,47647,50304,44627,48060,53097,55638,59981,62449,
79,1,45305,47343,44617,44416,42668,56913,55323,55726,47838,41251,48142,46020,51542,53320,54143,51392,56749,
80,1,54667,42503,42243,46699,47622,54747,61191,57149,47327,50202,44881,47206,55281,51578,46709,51587,55327,
81,1,45442,41170,46007,37337,41202,60128,51468,50218,51079,44507,44856,44853,44533,50909,46706,50885,50918,
82,1,35669,39439,36217,39159,41060,54826,54730,54211,51171,46477,43839,47907,49041,48072,47450,53782,53405,
83,1,35185,35847,37283,35065,30922,51707,51669,58190,47198,42485,47772,46051,45705,52884,45775,43265,45856,
84,1,31204,41911,30352,38172,37358,50048,49898,52568,46542,42822,44497,44025,42966,46228,47910,45035,40017,
85,Inf,164613,163053,156962,167010,164442,357763,333845,373538,335853,328439,340309,347529,362392,355849,373407,370561,353214,
