x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
52,1,272136,288667,308489,341563,358362,377407,374542,380813,381240,389978,399005,389280,424587,407837,423844,406631,397041,
53,1,277214,317035,293606,319381,345423,368209,346528,355535,358696,371529,378065,398668,384144,400747,401691,396615,398615,
54,1,268596,291561,270451,313816,315618,335245,317755,337783,333985,370651,384070,388575,373728,391724,391609,396370,408696,
55,1,235844,284244,288827,286683,301191,338482,330742,316724,321309,344565,375197,374696,388273,375376,391477,391983,394786,
56,1,204289,209020,274953,281472,287964,311996,291706,285074,309538,316116,322345,352681,365821,358096,370677,365681,365734,
57,1,198716,207233,203076,280448,282132,296997,288221,271936,274006,296663,318792,322744,343058,335027,346055,346750,362359,
58,1,200310,216895,201922,206350,275442,293078,269159,264405,252525,272609,300508,320083,317139,318770,321500,336740,344051,
59,1,191660,203521,182261,210190,217220,283340,261205,250858,250769,261056,271495,294133,295458,303475,320939,326800,333410,
60,1,179284,191609,205470,217984,215799,241919,272215,259494,244941,275114,273030,291473,308469,312120,329371,336769,340036,
61,1,147623,158561,173118,188887,209656,197594,195708,245301,233865,235903,229842,243379,267390,286483,293923,298536,302699,
62,1,150567,166228,153587,175702,205349,219051,199091,196377,240838,242986,246061,256663,262180,279194,293522,297164,302113,
63,1,139598,128855,153106,159960,179756,200031,186223,187011,168752,241003,223047,223461,240080,258263,262300,278405,282010,
64,1,123869,131283,132157,156318,159684,174717,172852,175718,161766,177308,220537,224164,222340,250265,243948,260046,263504,
65,1,134832,141435,123964,133948,143312,159151,155456,165687,150349,169719,164739,224083,230339,228550,229113,238887,246128,
66,1,130666,112705,111968,127998,130661,142477,143813,142984,148986,143423,159351,164153,206844,204241,219048,220157,228641,
67,1,109608,124460,116705,124674,132581,140036,131610,128017,124468,142607,143670,152889,166174,203527,217868,209131,206380,
68,1,103193,96547,94331,112985,124360,124290,124581,120578,115828,124575,134610,137160,153575,162920,202889,197081,190732,
69,1,102115,97683,98956,100685,111618,114959,107984,116703,99910,122147,122878,139852,148552,149167,165516,201560,200792,
70,1,94789,92223,92672,114938,106786,125312,108378,108494,103046,110621,118371,121419,158690,156517,156479,165620,198925,
71,1,90554,102901,87909,86912,91700,107971,102671,100298,97224,99395,104057,106875,124691,144863,138993,146890,149802,
72,1,87403,82653,89062,81671,90330,101194,89474,94752,89910,91622,103470,108132,117031,126503,140905,143137,140891,
73,1,89184,92505,81248,79460,89967,99357,94346,89394,80380,83954,96761,96480,115798,125730,120874,131280,131142,
74,1,85581,90078,76342,94316,85253,101980,89826,87585,81825,77589,85856,89194,103281,109023,113030,132684,136110,
75,1,84298,83712,83832,80047,79965,107464,90036,89110,79103,83631,81022,93732,102124,112551,104039,112754,126378,
76,1,85920,93167,80855,79473,81700,93090,88479,85340,79896,73229,79162,87086,96377,99720,104982,107290,103592,
77,1,80706,83460,77007,76795,83891,92272,85619,85027,73356,69565,79813,77451,93048,95546,99312,103903,105589,
78,1,68745,82753,68529,75655,76948,91708,94007,88986,76705,74696,77522,72358,85162,90035,94626,96125,108146,
79,1,75188,79093,71310,72698,69599,92247,88428,83625,75279,67498,76244,75002,80835,91909,90563,91599,94636,
80,1,85425,61409,68970,72043,71894,88831,97964,87939,73485,79074,71663,77799,84391,84426,81006,85452,95938,
81,1,72423,69236,69105,59902,62092,93968,81814,79036,80256,70735,76036,76388,73835,82117,74320,84830,85243,
82,1,59127,61722,56444,60337,65602,86439,84084,83297,73905,71392,69016,74230,78101,77165,73870,84633,85692,
83,1,53512,55151,54813,60932,50085,81467,77858,87379,72358,67020,74010,71298,72411,76277,69583,74109,74094,
84,1,45931,64399,47709,56762,54249,74846,76591,76752,68503,65898,67555,66827,70184,74400,76064,70721,64105,
85,Inf,241155,234764,238352,248767,249983,494987,472560,523598,475095,465531,492693,504521,532994,526284,551431,560823,538792,
