x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
42,1,2170765,2261194,2264555,2247042,2251422,2274852,2199695,2121508,2078768,2044645,2094408,2192635,2159490,2054152,1989275,1940428,1964898,
43,1,2199965,2197389,2205346,2209171,2200777,2277576,2300073,2205297,2100236,2049331,1977128,2064782,2146429,2140801,2014993,1918057,1902894,
44,1,2149529,2182334,2133062,2200039,2218304,2264848,2223140,2300002,2188983,2054149,2018162,2022237,2019734,2089697,2107307,2010894,1915564,
45,1,2176156,2188048,2205124,2204961,2281513,2405041,2363211,2358316,2311733,2269526,2144589,2112608,2107197,2127260,2236829,2246320,2100939,
46,1,2031498,2118643,2123758,2159921,2171152,2193939,2274230,2234244,2220312,2202252,2153378,2045932,1972225,2004207,2023818,2123332,2111655,
47,1,1979602,2066346,2136709,2180035,2195090,2211836,2260305,2299177,2242792,2247907,2223098,2132840,2041873,1993216,1961018,1997854,2117349,
48,1,1947532,2006176,2125841,2138418,2193113,2234138,2201831,2252026,2299188,2226142,2226836,2217854,2139429,2062232,2026058,2017043,2056046,
49,1,1865577,1964635,1960344,2054515,2086836,2218588,2218590,2188938,2237040,2242884,2203618,2207192,2190863,2135165,2069608,1996000,1961878,
50,1,1916382,2029158,2042443,2092408,2132021,2235601,2303561,2316968,2306269,2371989,2416775,2350375,2382333,2364112,2262827,2145020,2118638,
51,1,1727171,1795642,1851689,1898515,1915704,2001155,2063089,2131161,2131790,2161150,2183653,2202088,2151950,2140083,2123122,2090787,1976919,
52,1,1734286,1750097,1825027,1836980,1940506,1955245,2066944,2102132,2120563,2182556,2170593,2176427,2205723,2174608,2205112,2151235,2097557,
53,1,1745674,1747771,1763817,1845796,1862675,1943606,1964057,2034885,2094050,2120478,2140646,2151262,2165845,2166599,2168899,2169729,2136670,
54,1,1749720,1722333,1691600,1724357,1794525,1879339,1915647,1969928,2015549,2089146,2133535,2169273,2133498,2186929,2192695,2160826,2198868,
55,1,1474096,1736089,1752528,1726834,1756020,1859149,1915317,1951705,1958154,2079630,2145595,2150100,2178782,2155487,2211115,2214135,2165679,
56,1,1329313,1417102,1749585,1719833,1679793,1727365,1798775,1825190,1883611,1942139,1980927,2055527,2107152,2093970,2118347,2134084,2116188,
57,1,1333876,1340756,1366104,1758953,1698625,1705148,1718047,1754777,1817641,1904432,1953075,1992452,2046156,2073254,2086279,2057073,2080966,
58,1,1341206,1311238,1320239,1317843,1726848,1743783,1684222,1737964,1750934,1826373,1892226,1928983,1959144,2026179,2074197,2082856,2084495,
59,1,1238167,1347927,1262853,1322359,1381516,1742239,1674582,1669390,1684232,1757846,1798059,1859058,1909407,1940827,1978589,2059810,2095303,
60,1,1189008,1232928,1432766,1370025,1320621,1436708,1788103,1741020,1709934,1813625,1866058,1899901,1948421,1972490,2054953,2062952,2138326,
61,1,1058850,1116796,1154147,1304604,1276899,1269998,1323644,1700900,1673873,1657677,1685228,1725403,1770633,1844358,1870773,1909730,1977729,
62,1,1056115,1100674,1124809,1179863,1358845,1318566,1294690,1356748,1718505,1678179,1665605,1699656,1748103,1803908,1833847,1857799,1939482,
63,1,1002382,1000797,1044662,1083085,1170933,1296555,1267468,1258871,1318695,1710615,1660207,1639047,1650904,1723082,1778040,1824342,1847923,
64,1,968483,1002136,1034834,1041160,1090147,1162282,1305521,1249831,1253712,1345164,1702728,1625774,1619130,1667555,1681988,1763272,1803853,
65,1,960847,965970,1014433,979035,1028965,1122358,1162172,1295172,1230512,1281797,1345388,1688661,1661331,1653951,1663762,1681440,1759367,
66,1,908642,875175,918230,952153,949844,973337,1031044,1100259,1260852,1229692,1232393,1273544,1614603,1581953,1565716,1605756,1624064,
67,1,839781,906047,882474,896751,950766,964416,972960,1022379,1086692,1239224,1205385,1186943,1250846,1586495,1570720,1554331,1549685,
68,1,811991,804296,846754,862579,869267,907729,960720,959531,999844,1100414,1212706,1199128,1194353,1250464,1575940,1518189,1547189,
69,1,795129,831532,809225,833073,844329,848491,876146,908844,928761,1009647,1072114,1196769,1162613,1162049,1220276,1536413,1512503,
70,1,840903,812939,818671,792933,847267,857980,875774,913829,934044,993677,1016930,1092334,1224491,1190782,1194925,1255662,1547707,
71,1,795976,774398,748757,771793,740160,795686,817316,834548,864063,895907,899871,966072,1034675,1153808,1119764,1098359,1150966,
72,1,758934,770330,768778,745128,740299,765643,790938,804026,794522,857269,865143,916597,962589,1018830,1100981,1075964,1087362,
73,1,731358,716386,722587,733658,722349,723697,718474,736338,770302,810687,850751,876895,875992,912708,1004309,1110656,1056140,
