x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
42,1,4469733,4611323,4613961,4570610,4538841,4615797,4462253,4220188,4155438,4122755,4187424,4355947,4372109,4159828,4031164,3911226,3954735,
43,1,4448585,4446916,4544877,4526343,4479357,4614855,4577522,4411501,4227307,4104411,4018631,4154379,4307828,4315642,4068521,3898300,3846472,
44,1,4332968,4462412,4373667,4502214,4545345,4551779,4517433,4617272,4405728,4174540,4080961,4049413,4069509,4241405,4308440,4077656,3867280,
45,1,4467413,4498447,4546670,4526863,4641224,4801672,4699998,4721731,4673413,4583109,4316879,4229954,4203036,4296751,4459227,4508816,4226736,
46,1,4156921,4345551,4368758,4416035,4401860,4494835,4594266,4502209,4488619,4439811,4349770,4127110,3976104,4025641,4103302,4294044,4247219,
47,1,4054250,4159156,4305831,4445394,4477272,4496125,4610582,4597988,4503685,4534736,4483735,4312399,4148489,4041164,4009190,4036491,4314031,
48,1,4045670,4115616,4272445,4353547,4459868,4531968,4476008,4603953,4621938,4531128,4498586,4538746,4348198,4134569,4055504,4066909,4144189,
49,1,3830040,4040141,4053085,4176037,4276429,4467722,4509741,4514901,4558751,4554172,4497152,4486159,4481503,4355305,4194815,4064384,3997407,
50,1,3925676,4040114,4156080,4305642,4365002,4581582,4703097,4723211,4655580,4815259,4863518,4778927,4823517,4767384,4619635,4356367,4286116,
51,1,3534879,3705479,3796548,3843802,3966664,4067663,4197633,4330342,4347443,4389464,4440742,4457684,4402180,4380526,4348965,4237987,4009813,
52,1,3588517,3626327,3741085,3825746,3993228,4027727,4210915,4270388,4349436,4443153,4421236,4412256,4489974,4451050,4484696,4387125,4261071,
53,1,3562120,3628116,3628251,3739505,3804157,3986702,3999003,4143919,4241769,4362845,4378475,4395485,4405142,4460539,4427611,4397729,4358740,
54,1,3614083,3591185,3510579,3588937,3681046,3814151,3911661,4032947,4145596,4270961,4397628,4458301,4365900,4433853,4440456,4415158,4451067,
55,1,3022633,3625165,3642076,3583930,3652112,3787786,3919585,4028197,4039213,4274894,4408442,4450147,4481514,4452574,4551743,4524093,4460245,
56,1,2754252,2896477,3631925,3520637,3482068,3568585,3686769,3745208,3879430,4012325,4110685,4253064,4334137,4314435,4334586,4336800,4350021,
57,1,2765916,2748564,2846225,3597667,3531012,3536024,3555090,3617387,3733258,3928662,4020169,4119235,4195212,4276041,4311547,4251865,4314278,
58,1,2844755,2766077,2741502,2773171,3594975,3587997,3493225,3596506,3611104,3768921,3925061,3986219,4080076,4179602,4271270,4292217,4300265,
59,1,2576237,2840825,2653457,2748349,2845037,3601209,3476193,3467494,3514409,3656492,3701541,3826143,3958676,4038504,4101939,4264727,4314363,
60,1,2473402,2568614,2930927,2845542,2781382,2985925,3705482,3625618,3579291,3763972,3855073,3939613,4032255,4112069,4254330,4285444,4459345,
