x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
42,1,2298968,2350129,2349406,2323568,2287419,2340945,2262558,2098680,2076670,2078110,2093016,2163312,2212619,2105676,2041889,1970798,1989837,
43,1,2248620,2249527,2339531,2317172,2278580,2337279,2277449,2206204,2127071,2055080,2041503,2089597,2161399,2174841,2053528,1980243,1943578,
44,1,2183439,2280078,2240605,2302175,2327041,2286931,2294293,2317270,2216745,2120391,2062799,2027176,2049775,2151708,2201133,2066762,1951716,
45,1,2291257,2310399,2341546,2321902,2359711,2396631,2336787,2363415,2361680,2313583,2172290,2117346,2095839,2169491,2222398,2262496,2125797,
46,1,2125423,2226908,2245000,2256114,2230708,2300896,2320036,2267965,2268307,2237559,2196392,2081178,2003879,2021434,2079484,2170712,2135564,
47,1,2074648,2092810,2169122,2265359,2282182,2284289,2350277,2298811,2260893,2286829,2260637,2179559,2106616,2047948,2048172,2038637,2196682,
48,1,2098138,2109440,2146604,2215129,2266755,2297830,2274177,2351927,2322750,2304986,2271750,2320892,2208769,2072337,2029446,2049866,2088143,
49,1,1964463,2075506,2092741,2121522,2189593,2249134,2291151,2325963,2321711,2311288,2293534,2278967,2290640,2220140,2125207,2068384,2035529,
50,1,2009294,2010956,2113637,2213234,2232981,2345981,2399536,2406243,2349311,2443270,2446743,2428552,2441184,2403272,2356808,2211347,2167478,
51,1,1807708,1909837,1944859,1945287,2050960,2066508,2134544,2199181,2215653,2228314,2257089,2255596,2250230,2240443,2225843,2147200,2032894,
52,1,1854231,1876230,1916058,1988766,2052722,2072482,2143971,2168256,2228873,2260597,2250643,2235829,2284251,2276442,2279584,2235890,2163514,
53,1,1816446,1880345,1864434,1893709,1941482,2043096,2034946,2109034,2147719,2242367,2237829,2244223,2239297,2293940,2258712,2228000,2222070,
54,1,1864363,1868852,1818979,1864580,1886521,1934812,1996014,2063019,2130047,2181815,2264093,2289028,2232402,2246924,2247761,2254332,2252199,
55,1,1548537,1889076,1889548,1857096,1896092,1928637,2004268,2076492,2081059,2195264,2262847,2300047,2302732,2297087,2340628,2309958,2294566,
56,1,1424939,1479375,1882340,1800804,1802275,1841220,1887994,1920018,1995819,2070186,2129758,2197537,2226985,2220465,2216239,2202716,2233833,
57,1,1432040,1407808,1480121,1838714,1832387,1830876,1837043,1862610,1915617,2024230,2067094,2126783,2149056,2202787,2225268,2194792,2233312,
58,1,1503549,1454839,1421263,1455328,1868127,1844214,1809003,1858542,1860170,1942548,2032835,2057236,2120932,2153423,2197073,2209361,2215770,
59,1,1338070,1492898,1390604,1425990,1463521,1858970,1801611,1798104,1830177,1898646,1903482,1967085,2049269,2097677,2123350,2204917,2219060,
