x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
34,1,713340.1,726025.8,728758.2,702248.1,733090.4,642636.2,624406.2,530532,599914.3,593965.4,561278.3,724971,614735.4,668326.5,661738,512237.9,551211.7,
35,1,653368.5,650019.5,672966.8,774827.2,710028.9,792525.5,684450.8,540977.1,622562.3,580110.3,521879.7,604311.1,594675.4,492509.8,662298.5,620892,591275,
36,1,733864.7,651420.4,622513.7,617176.6,582017.4,650674.9,679277.2,564655.4,548746.9,544556.1,499524.1,573886.5,533515.6,466667.9,536363.7,572873.2,566457.1,
37,1,677978.2,671478.6,640966.5,557137.9,600209.5,627489,550594.7,586343.9,575008.7,487002,461733.6,441140.6,492123.4,525404.6,528847.4,502661.4,440094.6,
38,1,595198.4,659419.6,691634.2,559014.1,523068.9,608681.6,550108.4,480322.5,549517.7,556551.9,430819,447168.5,498983.6,370795.5,448980.4,482707.3,475423.1,
39,1,519128.1,636865.1,624255.5,525267.8,563487.4,534283.4,496962.4,447317.3,520869.8,476805.6,435356.6,467448.8,508284.7,509610.7,445651.7,403739.5,441377.1,
40,1,607148.1,640534.1,615365.4,641370.9,616109.7,596866.4,513450.1,481694.2,538897.7,516796.4,535716.1,382951.3,517383.5,425210.4,425091.3,417962.2,463048.3,
41,1,526435,563290.9,525402.9,540654.9,544019.5,501229.5,551647.5,372040.4,443667.9,400908.3,434632.6,433822.4,389556.6,337036.3,444163.4,367369.6,466685,
42,1,518464.1,586989.1,582535.9,518681,504283.8,518135.1,493488,408924.1,471109.1,386580.1,402061.9,432273.8,470972.8,433168,396103.6,342305.3,417369.7,
43,1,422271.7,449079.8,499039.7,493460.2,426976.1,502674.6,488396.7,406591.3,392997.8,380490.4,392719.1,389795.6,392682.2,394231.6,396641.8,385545.8,314629.7,
44,1,485519.6,522586.5,459722.3,483710.6,483195.4,453632.8,408275.9,414023.9,347460,405590.9,315885.2,378338.3,380076,254424,396981.4,364170,379743.2,
45,1,454797.2,378976.7,436853.4,432479.5,450705,471235.2,453754.7,404930.9,405997.7,427829.6,369873.8,351332.6,458689.3,349882.3,399282.9,364166.2,368054.5,
46,1,465112.8,442269.6,417750.8,361492.3,375801.4,428771.7,436213.5,405695.1,414131.7,393350.1,423697.3,382737.4,357000.8,335702.9,386798.2,391704.6,325225.9,
47,1,344693.3,422236.2,437210,351639.3,472582.4,391351.6,381067.4,324822.9,332003,371830.3,356135.7,376185.6,321061.9,338378.6,332289.7,320415.1,322030.9,
48,1,300581.1,340637.5,358747.9,369948.7,395554.6,370586.5,354516.4,283392,351804.3,327171.1,396994.4,375690.7,365608.4,339832.2,359446.2,337606.7,348784.7,
49,1,300998.2,371633.3,325128.5,325890.6,392465.2,417936.7,337546.6,304304.2,377895.9,336184.7,336408.5,290033.2,355194.8,279402.9,321276.3,332394.9,311834.6,
50,1,309021.9,324869.3,333845.7,343571.4,372634.5,355864.8,343383.9,272970.7,317755.9,399102,356937.5,388605.4,371146.6,330488.9,357374.6,339325.2,282375.1,
51,1,259518.8,276814.4,281045.4,289184,306641.1,307943.4,350585.5,326426.9,322478.3,334731.1,316016.4,394687.1,324233.7,280634.1,292680.5,283002.8,299592,
52,1,250712.9,296273.2,323558.1,281395.2,270364.6,313178.8,276340.1,254977.4,264245.6,329331.4,268932.3,293962.6,297842.4,338526,266756.3,274436.8,282151.7,
53,1,269101.6,280610.4,317443.6,264846.8,238705.3,273791.6,298894.1,320652.3,280119.1,293844.3,253520.4,263054.3,315073.3,291077,325066.7,308468.7,335876.8,
54,1,248562.1,318253.3,216289.3,244608.3,229682.6,239539.6,342945.4,287192.3,304074.5,319513.6,278782.9,285262,275469.7,215683.6,286677.9,280168.5,261813.8,
55,1,187797.5,239924.2,266520.4,258595.1,228525.3,262458.4,218790,241569.3,296141.6,203926.8,233957.7,251935.6,267776.1,411539.6,294129.1,268546.2,268267.5,
56,1,201205.8,204154.5,243389.2,230299.8,227201,225261.7,271214.9,183908.8,225165.5,220961.6,224735.1,280281,325917.6,255833.3,255685.9,227863.9,269764.7,
57,1,189865.4,179555.8,150416.9,181634.1,242941.2,234578,239646.3,204411.8,178781.8,235281.4,209739.7,225738.7,194190,263251,233201.7,236624,291751.2,
58,1,175688.4,207466.6,212909.7,171292.7,205739.4,211757.7,213014.3,189305.3,166801.3,221045.2,224190.2,232025.5,182437.8,214963.2,303159.4,281214.5,292938.3,
59,1,142631.1,166706.5,179042.6,203927.5,160316.3,234250.2,228070.4,186619,198908.4,173344.9,186576.4,205069.7,197380.8,218739.8,274522.5,225145.9,258005.6,
60,1,159624.8,150991.8,179764.9,160095.3,167442.8,157656.2,215683.4,203375.4,196777.1,202328.1,194129.8,187395.2,194264.6,227896.4,218132,244554,238426.8,
61,1,195348.3,145343.1,152998.2,173727.8,142326.2,121780.2,165090,124374.8,181141.1,181842.5,200714.5,186725.7,174228.1,214449.8,262106.9,215445.5,200871,
62,1,120871.4,186861.2,131067.3,131546.2,169783.8,132863.9,130249.8,137310.1,149748.2,159887.2,150071.7,176332.6,176568.5,205322.2,188857.2,209750.5,212583.5,
63,1,128513.8,123508.3,119194.5,139023.3,108094.6,133472.8,100383.6,96482.2,140595.1,187785.3,143222.4,212775.1,139877.6,202429.9,200994.7,190194.2,196001.1,
64,1,107976.9,132234.4,120132.5,114579.4,131714.4,127176.7,155107.9,133257.4,85513.3,123468.2,103007.5,142563.5,149487.8,162978.8,200299.8,180499.9,158834,
65,1,101582.4,97394.7,103273.1,142141,118184.8,127494.6,127641.2,150337.1,118294.7,157918.4,104522.1,130279.7,153273.1,94150.5,170979.5,160075.8,165530.6,
66,1,75732.6,88410.2,80755.5,102240.9,76853.4,102671.8,114776.4,84569.3,68380.7,130037.7,112787.1,100455.3,173439.5,100706.1,186751.6,107536.1,151604.4,
67,1,88450.2,98019.8,97717.2,85125.9,96905.5,67019.9,99697.4,72807.3,89620.1,125043.2,74689.5,96792,106169.9,124954,149042.4,90752.3,110513,
68,1,75932.6,63889.6,74279.3,75879.7,106009.9,94304.5,82762.5,77739.8,90853.7,100845.4,51382.9,72389.7,71255.6,66594.6,112643.4,93393.9,120011.6,
69,1,83540,84398.3,70470.7,67185.1,122502.9,111831.1,71058.8,78303.9,51263.5,74352.2,75364.3,88997.5,92769.3,76982.7,94182.5,99395.2,136542,
