x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
30,1,2159621.7,2042858,1973745.1,1949106.2,1854925,2089613.1,2015774.6,2030467.8,1999614.1,2103293.1,2159026.6,2116764.5,2114324.2,2148300.5,2224331.7,2252938.6,2257791.7,
31,1,2066947.5,2087023,2026152.8,1849654.1,1865075.6,1822344.5,1922665.6,1894675.6,1938978,1876873,2053119.7,2033864.8,2010567.8,1925467.8,1963209.3,2101264.3,2294141.8,
32,1,1994938,2094397.6,2080769.3,1977847.7,1879160.7,1804345.9,1928546.8,1816130.2,1948937.4,1899815.5,1917207.3,2041758.4,2159211.5,2068955.7,2133224.9,2111299.2,2101571,
33,1,1815903.4,1969540,2057799.4,2194619.8,2021178.1,1978217,1900488.3,1875548.5,1771205.4,1872476,1900288.7,1916150.8,2023095.6,2155775.9,2014064.9,2059418,2023427.4,
34,1,2014725.8,1889779.2,2043438.3,2084267.9,2230749.4,1947512.3,1816922.9,1872032.8,1914829.9,1806658.9,1857900.7,1925373.6,1881402.2,2084373.5,2108877.6,2032592.3,2033754.5,
35,1,2170565.6,2019338.9,2071405.5,2202333,2133222.1,2301081.9,2073603.5,1943341.5,1911190.1,1968489.8,1921528.9,1967333,1997235.9,2154630,2259977.1,2228476.8,2114569.7,
36,1,2263186.2,2027749.7,2035640.1,1991698,2070355.9,2061828.4,2255044.4,2119870.1,1917199.8,1831216.3,1857004.1,1829532.8,1835884,1933877.3,1904426.2,2041543.1,2144626.5,
37,1,2144201.3,2256303,1989440.2,1923925.4,1993998,1989170.9,2062901,2182751.4,2036918.9,1843521.7,1876345.6,1853019.5,1963407.8,1712067.4,1996394.4,1978752.7,2077216,
38,1,2182222.7,2195018.4,2210081.3,1997700.9,2002932.1,2058255.1,2008054.5,2047847.5,2217393.3,2030323.7,1956623.7,1785179.8,1911652.8,2022142.6,1870215.1,1943846.1,2028754.2,
39,1,2115737.3,2199607,2203556.8,2192888.5,2064068.2,1909678.4,2001989.1,1997120.2,2086475.8,2138762.9,1947283.5,1986350,1753112.6,1722000.9,1798979.8,1863474.2,1915957.7,
40,1,2320733.7,2243833.5,2391720.4,2335766,2392686.1,2279124.4,2043883.3,2116265.2,2009904.1,2181919.1,2244404.3,2033071.6,2011687.2,1851209.2,1940910.2,1935390.1,1943123.7,
41,1,2219659.7,2168371.7,2104528.7,2316582.8,2137469.9,2196382.4,2142619.5,2001524.3,2006506.2,2030713.1,2194517.8,2178894.6,2032992.8,1723479,1882490.1,1939943.2,1871860.6,
42,1,2151845,2221309.9,2278356.9,2108399,2230751.9,2212158.7,2185508.4,2038482.7,2002209.4,1925580.8,2020824.2,2186372.3,2163095.8,1999963,1926763.6,1900920,1868762.5,
43,1,2185113.6,2245172.9,2235692.7,2299954.4,2183101.8,2264860.3,2206746.9,2215013.3,2120799.8,1932189.3,1822016,1918689.7,2035688.7,2242570.7,1944288.9,1914279.6,1955497.2,
44,1,2184889.6,2245770.1,2212727.6,2160815.1,2260231.1,2098974.1,2200248.5,2218155.8,2182425.4,2034321.5,1921573.4,1938402.5,1918566.6,2222431.9,2096328.2,1953270,1815071.4,
45,1,2123887.8,2119252.6,2234704.9,2218657.6,2282333.6,2300594.1,2250900,2278726,2237393,2254058.2,2049041.2,2018683.9,2049250.8,1993562.7,2084570.7,2180782.2,2021678.5,
46,1,2181267,2148173.3,2152821.7,2187857.8,2068642.3,2102299.7,2314769.7,2258912.1,2244282.2,2288965.1,2106983.1,1973029.6,1950160.8,1931680.7,1986967.4,2128574.7,2121586.8,
47,1,1912613.7,2027639.7,2076820.2,2134618.6,2219831.6,2249263.9,2139782.3,2350699.4,2258984.8,2135715.8,2155315.4,2132609.7,2141754.7,2113471.5,1951614.2,1972330.3,1977812.3,
48,1,1906879.2,1997727.6,1966675.8,2032034.3,2227351.9,2228399.1,2220183.6,2156337.6,2181708.5,2216519.3,2183763.9,2318731.7,1952339.1,2065155.1,2012278.4,1884975.2,2076844.1,
49,1,1855868.8,1963548.9,2018080.9,2119346,2137187.6,2170499.5,2174713.6,2120200,2239341.4,2134217.4,2303452.4,2140526.9,2225085.8,1986416.1,2062914.4,1960280.8,1920406.8,
50,1,1878676.4,1928199.1,2035031.6,2136233.3,2202283,2222675.9,2215337.9,2218993,2169170.6,2238090.4,2244923.9,2302703.3,2299200.8,2384873.5,2257745,2117429.2,1910669.3,
51,1,1793038.9,1862717.3,1778006.6,2007375.1,1878747,2015816.1,2088586.8,2088443.3,2190772.7,2217632,2160817.2,2307016.6,2158434.2,2234053.5,2201027.3,2163301,2064726.8,
52,1,1780867.4,1812421.5,1816080.4,1695240.2,2004451.6,2013060,2039420.9,2045485.3,2112667.4,2169729.9,2111268.9,2131912.6,2157792.7,2117263.9,2112549,2175911.7,2181002.8,
53,1,1732097.1,1788616.6,1813677.9,1792108.5,1678448.9,1845034.6,1981026.4,2131881.5,2037923,2140851.2,2087062.6,2102343.7,2285405,2101959.2,2119727.3,2094554.2,2212705.1,
54,1,1754544.4,1683277.8,1714463.7,1758326,1856213.8,1825412.1,1870786.9,1889220.2,2100175.4,2122291.3,2108182.8,2062122.5,2025065.2,2134666.4,2154643.3,2161284.4,2080154,
55,1,1363984.7,1739363.3,1759574.7,1715186,1675700.8,1794392.4,1869236.5,1875123.7,2054441.2,1937295.7,2048964.9,2181795.8,2064225.2,2078747.5,2202717.4,2091373.4,2207291.6,
56,1,1437291.2,1429571,1722081,1697677,1674640.4,1776399.7,1803411.8,1754889.7,1812886.5,1947377.9,2027679.4,1967236.1,2192192.3,2157403.3,1973235.7,2161221,2018528.2,
57,1,1364148,1262807.3,1356465.5,1708105.4,1675975.9,1724195.7,1813830.2,1818709.2,1763442.4,1835332.5,1966795.2,1958218.2,1991138.8,2194080.5,2084234.4,2123111.5,2167610.3,
58,1,1339833.3,1296302.2,1387599.3,1432015,1633412.9,1691429.6,1705088.8,1767161.5,1791230.3,1762732.4,1898054.4,1858462.5,1946746.2,1919291.8,2140950.1,2063320.5,2098925,
59,1,1112235.3,1363086.7,1266958.1,1298480.3,1349371.7,1646586.7,1687450.2,1713114.7,1661357.4,1770142.1,1721751.6,1912810.4,1904420.6,1826711.9,1927147,2186646.8,2094441.2,
60,1,1065772.1,1188169.7,1321843.3,1278516.8,1284790.9,1291729.5,1632525.2,1763924.2,1735038,1755213.9,1866891.3,1793684.7,1750343.3,1952744.2,1912190.8,1996122.4,1998596.1,
61,1,1170102,1034936,1071323.8,1275793.4,1276694.8,1306419.5,1269051.2,1584520.7,1670335.5,1735542.7,1672882.9,1742445.1,1735105.7,1898710.1,1971009.9,1969765.5,1881377.9,
62,1,1020878.1,1072237.3,1186287.3,1065484,1328778.3,1206455.7,1227947.1,1343510.5,1509478.7,1636791.4,1698675.4,1559243.6,1588045.8,1601435.9,1794764.4,1834801.3,1798906.1,
63,1,1012607,1001729.5,1048125.3,1123077.7,1092566.1,1282254.4,1139116.6,1232541.9,1252905.6,1605087,1614585.8,1654410.9,1568558.7,1626965.6,1698864.9,1677965.7,1812094,
64,1,906404.1,984628.7,1045605.5,956254.4,1059268.1,1156528.7,1330207.8,1225484.4,1254972.6,1205878.3,1598325.3,1528446.2,1582382.2,1251230.1,1751100.5,1674036.6,1663026.6,
