x,n,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
14,1,760323.1,177565.5,524765,162178.3,472476.2,542038.6,526828,589260.8,501297.5,,,,,441343.4,,,,,432904.7,362028.2,420854.2,445537.2,,546260.9,523095,525773.9,572141.4,472880.7,444966.7,525118.3,469570.8,447048,,478165.4,588419,589812,482831.4,520500.1,475322.8,572820.6,530423.6,512718.7,460221.1,495589.7,482992.9,375154.4,405941.3,454094.1,428800.2,469654.4,400852.7,380154.5,422695.3,372366.1,350361.4,
15,1,511119.8,147811.6,473400.9,181115.4,520404,537178.3,497281.3,509431.6,504403,,,,,459414.8,,,,,413510.7,397150.7,402131.1,440135,,587530.2,563469.3,493660.6,509205.7,513296.3,434443.9,500971.6,448509.7,593108.8,,454662.9,580643.4,547980,518714,543461.7,445163.1,525586.8,474463.7,464066.8,447336.5,516487.9,494161,396570.1,430670.3,437981,363606.6,477430.2,450119.9,372027.1,400554.8,393419.4,345350.4,
16,1,584179.5,138815.1,473387.4,178673.3,426447.5,522766,498245.8,502633,481272.2,,,,,504918.8,,,,,495893.6,399951,363372.1,424580.8,,473410.2,508352.5,499497.1,500738.9,499837.6,489308.5,434487.2,477506.2,458554.4,,516903.7,514541,486684.9,546425.1,521985.4,438888.1,420433.6,532043.6,522099.2,504768.1,529962.5,481828.1,431709.6,505758.7,473485.5,453357.3,444066.2,446362.8,307155.8,393084.2,381689.7,441594.9,
17,1,432660.3,135577.4,525839.1,182440.7,508288.1,497864.5,505531.9,521471.6,474254.4,,,,,495405.9,,,,,512401.5,462539,473778.5,488383.9,,532674.1,542371.4,582381.4,542641.4,464156.9,511724,511019.2,496588.1,511540.7,,480859.3,524822.7,533647,509879.1,484281.5,474681.8,493098.4,495555.3,442673.5,423899.8,484162.6,489552.4,366906.6,466131.2,467107.8,429648,389103.7,419629.5,393545.6,449211.8,357073.8,359781.5,
18,1,617286.9,267070.3,671648.2,302042.2,686536.9,743674.7,653509.6,743617.6,762708.4,,,,,861655.8,,,,,819019,788920.7,736701,727020.2,,733198.1,707066.9,641393.4,722229.3,711086.4,620072.2,668742.4,632935.2,641324.2,,615832.4,626738,683352.7,696160.8,747328.6,595974.2,607026.4,606395.9,556575.3,581040.9,588252.3,545190.7,504756,525123.9,529223.8,503530.4,498898.1,523281.6,447300.9,482465.1,451924.2,423842.1,
19,1,752302.8,284288.3,829238.2,369286.8,895758.9,909847.8,950783,909098.5,935281,,,,,1135147.6,,,,,1074037.5,996392.4,938653.6,969147.8,,825063.8,898013.3,872098.6,914128.5,879454.2,943672.9,776825.9,851037.8,899680.4,,784415.3,919991.2,844452.5,912792.2,1066110.3,845979.6,919848.4,746925.5,661338.4,730954,796817.7,784456.5,656543.8,749173.6,688080.2,636124.8,653855.1,558308.6,512614.8,555605.4,593952,624482.9,
20,1,918790.7,361082,1021731,365448.4,1038556,1151265.9,1198304.2,1132687.9,1127815.4,,,,,1387992.8,,,,,1408720.5,1280522.2,1193831.6,1182774.3,,1058457.2,1090695.6,1112261,1029305.4,1124580.9,1037442.5,1018039.9,1036378.3,1054282.4,,1038159.1,975698.9,991378.9,971205.5,1137493.3,1067329.7,1211212.4,1046561.5,995234.8,1126374.7,978965.2,965372.7,860303.1,903042.8,887977.2,823662.7,895285.1,886615.4,800231.8,804361.7,920478.6,837600.1,
21,1,1014132.4,469204.7,1254870.5,455276.9,1056308.1,1386879.1,1398249,1361395.7,1363656.6,,,,,1431640.1,,,,,1562577.6,1442101.2,1347146.9,1391199,,1415369.6,1254951.3,1235489.9,1120938.7,1229098.2,1172780.3,1221392.7,1156644.3,1047561.8,,1075082.2,1040581.5,1138272.4,1197918.6,1329289.1,1171007.8,1110033.9,1127285.2,1065044.2,1138895.6,1025870.3,1076603.3,963276,1060158.5,1163767.1,993760.9,1024292.8,1016604.2,859752.7,901200.3,895401.6,924063.3,
22,1,1066163.7,435297.9,1294939.3,543978.4,1204026.6,1133522.4,1571979.2,1678587.3,1598518.5,,,,,1473398.6,,,,,1683747.8,1678609.2,1585656.9,1567955.1,,1455532.2,1438492.5,1325282.2,1393484.3,1465966.6,1336728.9,1487635.8,1364667.1,1394306.9,,1107907.9,1157778.5,1206412.4,1222018.9,1327778.3,1202118.8,1237721.4,1199148.4,1246883.1,1275415.5,1239253.9,1096459,1169727.7,1233732.4,1223439.7,1019358.3,1104789.9,1219589.5,1035938.2,1042420.3,903620.7,920531.8,
23,1,1049505.3,436971.4,1203583.9,545783.7,1231080.1,1293468,1264226.4,1622092.7,1671975.6,,,,,1589207.9,,,,,1781114.4,1662293.3,1541656.3,1662738.6,,1665940.4,1585727.5,1532001.7,1542278.7,1480815.2,1421446.3,1419588.9,1365706.7,1549020,,1392784.2,1260650.3,1355985.9,1227896.3,1347380.5,1382298.2,1284514.6,1243137,1346710.8,1313671.2,1326727.4,1177818.4,1362531.8,1228921.1,1145425.7,1195394.3,1258927.5,1204941.6,1172970.8,1114764,1141893.1,1054685.3,
