x,n,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
11,1,,,,,,4102039.8,4119728.1,4087051.5,4114524.6,,,,,3905404.9,,,,,3690991.6,3696236.1,3492830.3,3303464.6,,3251462,3244212.4,3290789.1,3469742.5,3400278.7,3550940.6,3772558.4,3792188.7,3814551.1,,3941847.9,3928985.9,3859185.9,4089516,4040505.1,4205261.5,4240734.5,4216758,4226942.5,4140434.9,3953414.1,3982214.6,3927406.8,3883007.6,4138367.2,4130091.4,4156193.8,4088219.1,3911106.2,4100556.8,4045350.4,4127227.6,
12,1,,,,,,4036882.8,4088345.3,4122508.9,4099623.1,,,,,3981514,,,,,3586639.3,3695282.9,3727432.6,3500146.8,,3218177.4,3244345.8,3254108,3348152.1,3359951.9,3382049.9,3766843.8,3704764.4,3745530,,3788755.3,3954528.5,3925595.2,3871173.6,3958006.9,4076406.6,4261968.3,4339251.5,4321756.4,4240370.6,4077693,4127170.8,4035091.8,4011320.4,4060913.8,4120579.7,4157788.4,4155908.2,4165161.6,4051088.2,4167424.9,4158098.6,
13,1,,,,,,3911159.2,3996627.5,4098928.6,4169676.9,,,,,4104274.1,,,,,3554991.4,3589406.7,3692681.9,3733062.9,,3350133.1,3237757.3,3257285.8,3240606.2,3415095.9,3511246.3,3338597.3,3632260.6,3856272.6,,3952520.1,3731592,3932467.5,4052624.8,4018214.3,4112570.8,4142215.1,4297443.8,4290394,4204002.7,4240454.8,4073834.5,4085660.9,3983968.3,4145370.7,4101937.8,4137776.1,4208103.9,4115890.5,4128119.1,4053688.8,4104630.8,
14,1,3576227.6,3453165,3458583.7,3659680.9,3736066.3,3924253,3891689.8,4120442.5,4029305.2,,,,,4240256.9,,,,,3646379.5,3556604.7,3594183.7,3697565,,3590023.2,3365057.8,3256216.1,3311189,3250975,3359587.3,3440924.1,3502422.8,3764957.7,,3857178,3938432.1,3870939.6,3903304.9,3996957.1,4017284,4173141.4,4126830.3,4329617.8,4324364.6,4251181.7,4257103,4073481.6,4069587.7,4167420,4140969.3,4067162.1,4137911,4162575.1,4207678.2,4100637.5,4082734.8,
15,1,3580792,3459733,3503384.8,3532821.5,3823776.9,3676750.5,3904294.4,3819885.6,4032899.4,,,,,4207748.3,,,,,3812768.4,3648723.2,3563629.1,3600786.6,,3793332.1,3595468.5,3385707.6,3250117.3,3313410.9,3303503.3,3381402.3,3461670.4,3603838.3,,3902546.9,3853677.5,3943009.1,3899105.2,3928597.9,4034210.6,4014655.1,4108912.2,4162640.5,4320504.1,4331795.6,4219593.6,4262528.3,4119620.1,4213059.8,4136274,4158435.6,4110817.4,4179203.4,4186624.3,4223093.7,4126701.1,
16,1,3627972.5,3480356.9,3423746.6,3578168.7,3600539.3,3707611.8,3729585.8,3867933.4,3890945.3,,,,,4249991.3,,,,,4035218.1,3841820,3649121.8,3507675.7,,3698865.8,3772742.4,3616710.1,3352129,3293759.6,3347298.5,3298922.7,3363064.1,3580070.7,,3839507.5,3907811.6,3922439.9,4045281.4,3994022.7,3933499.2,4062340.9,4251718.2,4461541.5,4407319.2,4745004.4,4554572.6,4550044.6,4680808.5,4441346.6,4514158.6,4570398.8,4381192.1,4212700,4341268.8,4515328.1,4509136.9,
17,1,2633346.4,3380454.5,3538488.3,3383758.2,3391294.5,3432067.6,3635410.9,3705334.9,3868285.9,,,,,4060490.2,,,,,4120392.2,3986964.3,3821355.5,3722457.4,,3617713.1,3713451.1,3790961.3,3666101.4,3336869.2,3273258.5,3301553.5,3294342.2,3599640.2,,3716065.1,3904947.4,4013604.2,4010409.4,4088093.5,4020671,4059587.7,4267590.3,4259792.5,4333567.5,4267490,4522901.6,4631957.4,4370264.3,4727429.4,4464898,4248248.9,4601834.8,4395724.3,4411845.4,4358632,4442238.2,
18,1,2622568.7,2637746.2,3248799.1,3533462.6,3457391.4,3358501.6,3528763.1,3642755.2,3807888.2,,,,,4203492.3,,,,,4221247.4,4059581.3,4030281.6,3836997.9,,3637150.8,3645913.2,3649156,3712326.4,3556770.8,3328519.5,3194375.2,3270468.3,3415377.5,,3618390.7,3674318,3809440.4,3982315.7,4016702.2,4007093.3,3931606.4,3964457.5,4026553.9,3974546.1,3924756.4,4105095.8,4248596.4,4173148.6,4437347.6,4495680,4276028.9,3989456.4,4147071.1,4198690.2,4119936.2,4103245.8,
19,1,2492780.6,2430514.2,2449151.5,3143769,3293455.4,3096417.5,3166547.3,3188236,3314576,,,,,3921500.9,,,,,4008228.5,4044786.6,3955263.4,3833690.4,,3526812,3458618.6,3573211.7,3641631,3765686.8,3586441.6,3392216,3237138.6,3500484.4,,3572014.6,3823631.8,3777911.2,3926843,4074632,3931340.7,3976955.8,3589297.4,3458082.9,3626282,3647155.4,3767621.8,3620860,3882877.6,4009278.3,3874238.2,3985669.8,3886991.8,3949215.8,3701804.1,3698241.9,3709294.3,
20,1,2557262.6,2612095.4,2570494.2,2356606.2,3013005.1,3113624.1,3004122.6,3030319.4,3234147.8,,,,,3999291.5,,,,,4254661.7,4048954.5,4057134.1,3972676,,3617743.9,3700489,3593605.9,3513638.1,3532478.5,3552147.3,3358909.8,3347022.1,3468331.1,,3561527.9,3596523.6,3736777.8,3639363.3,3896097.1,3918295.2,4252565.4,4211379.5,4107933.7,4105276.7,4001476.7,4102774.1,4046687.7,4053843.3,4324846.9,4343004.2,4494539.8,4259109.1,4387889.9,4281840.8,4535691.9,4170211.1,
