x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
30,1,2227011.8,2050234.5,1910125.3,1964515.5,1918975.9,1965905.3,2034902.5,2009684.4,2044744.7,2028748.5,2142224.5,1991297.5,2169810.1,2128466.9,2115729.5,2182656.9,2277833.6,
31,1,1984098.4,2123805,2086027.9,1853912.3,1879011.1,1946138.2,1953182.9,1940996.3,1986681.3,2089019.6,2067616.7,2188262.4,1968381.9,2022139.7,2114857.7,2160211.2,2119127.9,
32,1,2018796.4,2086284,2189093,2037189.7,1913771.4,1871261.5,1953234.6,1839384.3,1870131.2,1858917.6,2048229.9,2041496.5,2213553.5,2108806.6,2163062.2,2089325.8,2299349.6,
33,1,1947717.6,2020012.7,2169489.1,2169091.5,2046678.9,1900156.7,1714963.8,2051652.3,1864851.6,1962400,1845904.4,2008853.5,2070319.9,2212348.1,2114772.6,2241460.8,1919913.6,
34,1,2089051.6,1996322.8,1984822.1,2112847.6,2199324.6,2017151.6,1961299.6,1758104.4,1924263.3,1952900.7,2004982.2,2061934.2,2048055.6,2138104.7,2186938.4,2097780.1,2178523.5,
35,1,2067492.1,2006428.2,2071063.7,2108710.4,2173981.9,2210762.7,2087538.7,1939967.1,1898340.7,2039573.8,1949635.9,1983125.8,2041603.9,2003935.5,2227235.2,2096070.1,2128326.3,
36,1,2226948.6,2128745.7,1982963.2,1977449.5,1961075.5,2057451.5,2207035,2009249.2,1923632.3,1936870.8,2002985.3,1962595.6,1967530.7,1896099.5,1955328.5,2214970.9,2095661.2,
37,1,2329406.4,2212041.2,2164381.1,2125611.3,2012616.2,2019131.1,2126217.4,2189281,2088251.5,1996379.8,1893611.1,1860640.7,1967694.4,2055265.2,1975840.2,2024894,2156844.2,
38,1,2258040.5,2277679.4,2265823.7,2128415.6,2159376.2,2041148.8,2015429.2,2220220.1,2155029.8,2048678.3,1931752.5,1920185.3,1861726.1,1921816,1917235.7,1989557.7,2077953.7,
39,1,2286259.2,2324779.2,2289698.9,2142691.7,2079638,2122798.1,2068919.2,2083407.4,2210123.1,2098510,2081058.7,1992395.3,1920877.9,1979494.8,2009900.9,2005761.3,2033274.3,
40,1,2360075.4,2414719.6,2361999.9,2326449,2335131.7,2247191.4,2214819.4,2024658.4,2253757.7,2235401.7,2292718.7,1989211.8,2032691,2052020.8,1955983.1,2031663.1,2063858.4,
41,1,2204116.4,2275488.4,2260935.9,2394035.2,2300823.5,2148429.9,2157305.2,2064434.1,1968016.2,2156532.1,2151998.2,2293474.4,2000877.7,2022056.8,1967205.1,2047814.2,1937739.1,
42,1,2274119.4,2241240.6,2296873.9,2223656.4,2282277.2,2305574,2201921.1,2047996.9,1995324.7,1968106.2,2077167.5,2113548.1,2285205.2,2072776.5,1967081.6,1906528.6,2037227.5,
43,1,2336445.9,2264756.8,2267989.1,2275362.8,2221193.7,2356052.9,2255862.5,2348674.7,2114564,2033335,2076465.7,2142826.7,2094340.7,2168343.6,2045477.8,1942892.6,1819749.7,
44,1,2285220.1,2315527.3,2378772.8,2340778.4,2355722.6,2241184.6,2246774.2,2323771.2,2223860.1,2072240.8,1933217.4,1992538.4,2081575.3,2026750,2276690.3,2045244.3,1960284.6,
45,1,2263574.8,2328847.7,2279246.1,2372733,2489399.3,2457020.7,2261289.2,2315824.2,2259119.4,2299105.6,2021988.6,2131608.3,2064829.3,2200508.9,2142184.4,2299147.2,2079446.3,
46,1,2202996.9,2173372.3,2267749.5,2303512.8,2222601.9,2400245.3,2372022.9,2308594.4,2251448.8,2242125.8,2306160.5,2094056.1,2159113.4,1787347.8,2110199.1,2171849.3,2233061.9,
47,1,2002012.4,2229194.2,2155838.2,2263948.2,2348916.6,2210770.5,2328682.4,2313515.6,2244282.7,2320604.9,2331761.7,2258467.5,2073602.6,2166991.4,2099200.1,2046124.7,2136797.8,
48,1,1999532.6,2056533.9,2164318,2098567.9,2097619.4,2282784.9,2256384.1,2332674.7,2452142.3,2265893.6,2313657.8,2238487.3,2262597,2104636.1,2078135.3,1996543,2111916.6,
49,1,1987171.4,1943695.6,2103468.2,2091393.9,2140949.8,2116182.2,2323974.8,2265654.9,2343218.7,2350675.5,2272618.6,2277198.2,2181579.9,2257599,2035378.1,2038122.8,1982142.1,
50,1,1906155.5,2136569.6,2142231.4,2133498.6,2232965.8,2168497.6,2332884.3,2320525.8,2261779.6,2339766.2,2405136.1,2521662.8,2275895.8,2160285.7,2366122.4,2056383.1,2189365.3,
51,1,1917048.2,1832650.8,1891072,2053152.1,2141425.2,2288692,2152008.7,2207191.6,2194487.5,2222905.8,2328542.7,2397208.1,2305307.9,2175257.4,2282494.4,2242522.5,1963488.9,
52,1,1858891.2,1838737,1908677.7,1940449.5,1938752.3,1997180.4,2083162.4,2163600.8,2156470.7,2198310.4,2203746.5,2252922.3,2292583.3,2196787.4,2172911.4,2280825.7,2251614.5,
53,1,1855070.8,1707203.9,1892637.3,1861844.5,1883025.6,2022731.2,2007909.6,2143802.4,2244148.7,2203358.3,2250904.3,2141900.4,2320881.9,2479412.1,2191352,2288742.5,2303447.7,
54,1,1807363.8,1966444.8,1822234.2,1867494.6,1909379.1,1879971.9,2047599.6,2024781.8,2186421.3,2350989.8,2248158.6,2151968.3,2265460.6,2441830.7,2374386.2,2305789.8,2207021.4,
55,1,1459521.2,1735480.1,1874844.3,1897074.1,1893002.9,1913690,1960476.3,1960047.9,2016588.3,2217486.7,2272211.1,2293849.3,2268415.1,2359007.2,2118882.2,2360952.6,2313816.1,
56,1,1409967.6,1462461.9,1819695,1791092.3,1785733.4,1838364.2,1970433.4,1883185.5,1992713.7,1958541.8,2104665.7,2149909.4,2313346.5,2311779.7,2294748,2131270.6,2291507.1,
57,1,1513895.9,1442393.4,1449814.3,1808142.9,1890694.3,1780214.2,1886507.7,1880234.5,2002173.6,2032747.6,2009224.1,2058205.1,2148690.3,2320459.2,2275061.2,2243196.2,2172605.5,
58,1,1405883.6,1515223.8,1440386.9,1412576.3,1745498,1923696.8,1740379.7,1945097.1,1813283.8,1977625.6,2034291.4,2119951,2049427.7,2000342,2144277.9,2269675.7,2192050.4,
59,1,1328762.1,1419854.9,1392146.1,1397725.3,1447186,1738329.8,1784400.7,1773260.4,1846666.8,1851228.2,1848425,1969851.3,2001257.6,1934490.1,2257397.6,2204178.2,2280213.8,
60,1,1260105.9,1268170.4,1473474.1,1430413.6,1527301.3,1457172.6,1843361.9,1829032.7,1848791.9,1838329.1,1937251.9,1879096.3,2013217.1,2345709,2097311.6,2132945.8,2151290.6,
61,1,1188091.6,1179310.5,1226833.9,1469426.8,1361167.3,1414674.9,1348166.7,1763652.2,1787254.7,1870377.7,1857207.1,1928594.7,1899638.8,1855240.6,2035302.3,2126289,2078821.4,
62,1,1144753.5,1241013.7,1235649.1,1244256,1393302.4,1388934.4,1345359.4,1370415.3,1740253,1840037.3,1774146.5,1789092.2,1898103.5,1774760.6,1992080.2,2058194.8,2130576.6,
63,1,1151427,1130619.1,1173188.1,1201536.1,1233113.5,1406586.1,1359713.3,1402816.5,1430629.6,1761724.2,1817466.8,1882653.5,1754179.8,1656368.5,1867592.2,1974013.5,1982487.2,
64,1,1016250.3,1106080.4,1147363.3,1171797.1,1207545.2,1242589.6,1474683.2,1415249.7,1304768.4,1413044.8,1795661.8,1743071.3,1821598.8,1990382.7,1878197,1856062.7,1990604.3,
65,1,1145199.8,1098144.3,1099580.6,1258458.1,1251348.6,1232323.1,1223848.3,1399683.7,1340826.6,1404927.1,1398279.7,1709460.8,1858799.6,1549605.6,1799910.3,1919104.8,1907934.7,
66,1,1034459.5,1125606.4,1028835.4,1063802.2,1040499.2,1188095.9,1150106.2,1184903.8,1284147.7,1230708.1,1374963.2,1385309.4,1765992.1,1925442.3,1796748.5,1692143.9,1836145.7,
67,1,916802.3,982453.6,1025477.4,949503.6,1019596.1,970909.6,1105416.2,1164592.1,1248288.9,1288453,1282184.3,1311866.2,1418699.8,1701288.5,1874813.6,1665020.8,1763373.3,
68,1,919023.9,973695.6,1102031.2,991430.3,987382,1028251.1,1071586.9,1100998.8,1215984.4,1264962.1,1430120.8,1340295.7,1262321.2,1475306.3,1664901.8,1792470.9,1664504.2,
69,1,1069418,1002167.2,865002.6,988940.2,1016073,1028938.4,1064682.6,1077581.5,1104031.8,1192259.8,1190531,1391776.8,1231369.7,1282944.9,1200482.7,1673217.7,1671406.9,
70,1,1004219.4,989077.9,1008292.7,910826.4,942154.9,988681.2,976800.6,1000287.1,1003753.2,1153983.7,1154475.2,1227906.7,1295831.5,1360254.3,1365970.7,1355989,1601289.9,
71,1,991240.9,1001357.6,933047.5,1016185.7,957908.7,931179.6,948415.9,946118.7,996164.9,1036173.3,1042876.6,1106889.9,1271740,1296592.7,1278097.7,1317472,1340510.7,
72,1,976000.5,905662.9,991044.5,864623.4,918121.8,960149.3,925881.4,955902.2,998743.1,1002642.6,1014616,987669.5,1041896.7,1179322.3,1304385.6,1268681.6,1256559.9,
73,1,985363.8,847694.9,868786.7,939933.5,872615.4,850897.7,919814.4,915644.4,910442.5,927076.1,900786.9,960327,949803.3,1049196.6,1148747.8,1235066.6,1184175.5,
74,1,893336.2,945729.3,914145.5,899051.7,918039.7,848753.2,872020.3,865101.1,900596.4,859639.8,978976.5,982050.5,1001421.6,946535.5,948994.8,1062117,1319615.1,
75,1,887166.4,927240.4,970001.3,974870.1,945237.4,943700.1,890705.1,939087.5,879787.6,895932.3,906194.3,956502.3,934293.7,1087635.7,1000770.5,943621.2,1020725,
76,1,899804.2,813800,916305.2,1023409.3,892240.7,912106.4,872948.3,865613.8,954160,806141.1,821896.6,902735.1,876136.9,660518.7,838745.1,957242.5,1070731.5,
77,1,931557,983073.1,846510.5,922138.9,978016.2,870062.6,930347.2,783367.2,827605.7,909899.8,737675.7,782344.4,920330.5,861361.9,882078.2,863060.6,898812.2,
78,1,792284.6,860926.6,866247.9,875411.8,795771.2,865115.1,840175.3,845147.5,776314.4,826700.6,807885.8,773775.9,863773.7,941740.6,885686.6,964859.5,852734.4,
79,1,890536.6,802561.3,876563.4,704620.8,749913.3,800895.7,761937,720469.5,724524.1,772908.3,786829.3,793647.4,769798.8,884095.5,814522.5,837737.3,825001,
80,1,744816.9,5275604.9,5394120.6,3110691,3207436.5,3240344.8,3414519.9,3453423.7,3428424.8,3404711.4,3381791.5,3365394.2,3202324.6,3257457.2,3161245.3,3236833.7,3206879.9,
81,1,565322.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,1,525548.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,1,476730.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,1,540943.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,Inf,2260744,0,0,2368590.5,2570311.8,2659681.2,2623311.4,2809977.9,2885792.7,3001861.7,3184637.2,3196441.8,3325396.7,3287436.1,3588676.1,3552431.7,3693687.2,
